timestamp,alert,classification,priority,protocol,src_ip,src_port,dst_ip,dst_port
02/14-00:00:00.000000,SNMP AgentX/tcp request,Misc activity,2,TCP,155.48.45.107,60577,98.78.164.1,11898
02/14-00:00:01.000000,ICMP PING,Attempted Information Leak,3,TCP,162.146.52.45,33549,24.132.14.194,26018
02/14-00:00:02.000000,ICMP PING undefined code,Misc activity,3,UDP,63.234.36.85,13503,66.250.157.165,36009
02/14-00:00:03.000000,ICMP PING BSDtype,Misc activity,2,UDP,181.46.31.4,5522,134.105.168.9,34646
02/14-00:00:04.000000,SCAN nmap XMAS,Misc activity,2,UDP,161.66.55.32,11732,103.212.58.250,60567
02/14-00:00:05.000000,ICMP PING,Attempted Information Leak,2,TCP,132.86.114.198,58845,180.132.188.144,10548
02/14-00:00:06.000000,SNMP request tcp,Attempted Information Leak,3,UDP,35.99.167.52,41119,226.172.108.163,64107
02/14-00:00:07.000000,ICMP PING undefined code,Misc activity,3,TCP,27.240.178.58,15439,234.156.54.62,59823
02/14-00:00:08.000000,SNMP trap tcp,Misc activity,2,TCP,132.221.99.135,44236,87.11.61.66,65182
02/14-00:00:09.000000,SNMP trap tcp,Misc activity,2,TCP,17.170.159.141,11375,251.235.229.144,29023
02/14-00:00:10.000000,SCAN nmap XMAS,Attempted Information Leak,3,ICMP,84.157.214.146,60427,76.25.207.213,6864
02/14-00:00:11.000000,ICMP PING undefined code,Misc activity,3,ICMP,109.219.61.127,65069,117.33.13.184,4906
02/14-00:00:12.000000,ICMP PING *NIX,Attempted Information Leak,2,TCP,191.97.177.54,29399,109.49.51.20,32687
02/14-00:00:13.000000,SCAN nmap XMAS,Misc activity,2,TCP,74.149.210.118,21609,240.204.54.16,20161
02/14-00:00:14.000000,SCAN nmap XMAS,Misc activity,2,TCP,184.184.5.209,57387,192.205.213.7,220
02/14-00:00:15.000000,ICMP PING,Attempted Information Leak,3,UDP,24.38.219.121,1615,225.155.241.114,63455
02/14-00:00:16.000000,ICMP PING undefined code,Attempted Information Leak,2,UDP,166.161.97.54,39175,12.152.21.176,37908
02/14-00:00:17.000000,ICMP PING *NIX,Misc activity,3,UDP,79.119.217.123,62217,203.27.35.83,43951
02/14-00:00:18.000000,ICMP PING undefined code,Misc activity,2,UDP,69.198.138.144,35627,83.122.56.169,27211
02/14-00:00:19.000000,ICMP PING undefined code,Misc activity,3,TCP,153.155.124.91,8129,170.15.158.54,9227
02/14-00:00:20.000000,SNMP request tcp,Misc activity,3,TCP,12.123.13.147,58617,83.92.115.210,58167
02/14-00:00:21.000000,ICMP PING undefined code,Misc activity,3,TCP,253.24.135.193,32260,5.96.171.160,64058
